column,dtype,missing_%,unique_values,min,max,mean,std
city,str,0.0,1,,,,
location,str,0.0,4,,,,
date,datetime64[us],0.0,365,,,,
pm25,float64,14.12,186,13.0,495.0,103.13085764809902,51.315876142847216
pm10,float64,0.0,148,5.0,608.0,65.3037205770691,35.72291321686935
o3,float64,4.25,85,1.0,500.0,20.695479777954006,32.09921455097417
no2,float64,4.25,72,1.0,146.0,13.742268041237113,13.722049141060682
co,float64,18.22,25,1.0,45.0,5.8495821727019495,4.085702734254298
weather_station,str,0.0,4,,,,
station,str,0.0,4,,,,
latitude,float64,0.0,4,18.897756,19.23241,19.05254305656796,0.12282594542013202
longitude,float64,0.0,4,72.81332,72.8954371,72.8602348395596,0.030223241880392954
temperature_2m_mean,float64,0.0,791,21.641666666666666,34.95,27.110902303214377,2.0601728238461154
temperature_2m_min,float64,0.0,139,14.7,29.9,23.901822323462415,2.9055307843180436
temperature_2m_max,float64,0.0,143,24.7,43.0,30.745861807137437,2.9237173358441435
relative_humidity_2m_mean,float64,0.0,661,23.875,95.125,73.90401164262212,14.632814381829034
relative_humidity_2m_min,int64,0.0,82,8.0,91.0,57.98405466970387,20.82684191944219
relative_humidity_2m_max,int64,0.0,58,36.0,100.0,87.85725132877752,11.021985601659948
precipitation_sum,float64,0.0,268,0.0,127.5,7.691343963553531,16.46557663034906
wind_speed_10m_mean,float64,0.0,918,3.8875,37.71666666666667,12.834630473297901,5.638376818171979
wind_speed_10m_max,float64,0.0,263,7.1,43.3,20.83538344722855,6.124565063110929
wind_direction_10m_mean,float64,0.0,935,69.04166666666667,327.4166666666667,210.26917236142748,45.94391552997895
surface_pressure_mean,float64,0.0,1099,994.4458333333332,1015.2666666666668,1006.5486648949632,3.9333160884232328
cloud_cover_mean,float64,0.0,730,0.0,100.0,51.512496836244,37.70451724440093
shortwave_radiation_sum,float64,0.0,908,927.0,7401.0,5067.508731966591,1449.1323310973355
shortwave_radiation_mean,float64,0.0,908,38.625,308.375,211.14619716527457,60.38051379572231
